label,center,prediction,probability_negative,probability_positive
1,3,1,0.40136093,0.5986391
0,2,0,0.54761535,0.45238465
0,3,1,0.4814275,0.5185725
0,2,1,0.4056312,0.5943688
0,3,0,0.53459173,0.46540824
0,2,0,0.5511859,0.4488141
1,1,1,0.4056312,0.5943688
1,1,1,0.20614065,0.79385936
0,2,1,0.4560855,0.5439145
1,3,1,0.3886395,0.6113605
1,3,1,0.4056312,0.5943688
1,2,1,0.487087,0.512913
0,3,1,0.4824325,0.5175675
1,3,1,0.40752724,0.59247273
0,3,1,0.4359426,0.5640574
0,3,0,0.51032346,0.48967656
0,3,1,0.49726158,0.5027384
0,2,0,0.5157536,0.4842464
0,3,0,0.51447654,0.48552343
0,2,1,0.4056312,0.5943688
0,2,0,0.5271641,0.47283596
0,3,0,0.5066972,0.4933028
1,1,1,0.21822435,0.7817757
0,2,1,0.4056312,0.5943688
0,3,0,0.50864685,0.49135315
1,3,0,0.5596787,0.44032133
0,3,1,0.49367923,0.5063208
1,1,1,0.27768293,0.7223171
0,2,0,0.52335876,0.47664127
0,3,1,0.4056312,0.5943688
1,3,1,0.40579244,0.5942075
0,3,1,0.456083,0.543917
1,1,1,0.2502103,0.74978966
0,2,1,0.49228618,0.5077138
0,3,1,0.41951466,0.58048534
1,3,1,0.32845056,0.6715495
1,2,1,0.4056312,0.5943688
1,0,1,0.1564991,0.8435009
1,3,1,0.4438307,0.5561693
0,2,1,0.4056312,0.5943688
1,3,1,0.4056312,0.5943688
0,2,1,0.4056312,0.5943688
0,3,1,0.4056312,0.5943688
0,3,1,0.4937182,0.5062818
0,3,0,0.5379321,0.4620679
0,2,1,0.4056312,0.5943688
1,1,1,0.21772808,0.78227186
0,2,0,0.55976737,0.44023266
0,2,1,0.48561472,0.5143853
0,2,0,0.5154525,0.48454753
1,3,1,0.49271643,0.50728357
0,2,0,0.5140985,0.4859015
0,3,1,0.4364733,0.5635267
1,1,1,0.21744296,0.7825571
1,3,1,0.43351996,0.56648004
0,3,1,0.49227062,0.50772935
0,2,0,0.5338367,0.4661633
1,3,1,0.41375422,0.5862458
0,3,1,0.4056312,0.5943688
0,3,1,0.47443128,0.5255687
0,3,1,0.48366106,0.51633894
0,2,1,0.4056312,0.5943688
1,2,1,0.45660532,0.5433947
1,3,1,0.36783993,0.63216007
0,3,0,0.5002674,0.4997326
0,2,1,0.49039528,0.5096047
1,3,0,0.5079989,0.49200112
0,3,1,0.46386006,0.53613997
0,2,1,0.49632198,0.5036781
0,2,0,0.5108934,0.48910657
0,2,0,0.52064407,0.47935596
0,2,0,0.5257943,0.4742057
0,2,0,0.55205846,0.44794148
0,2,1,0.4056312,0.5943688
1,0,1,0.18557152,0.8144285
0,2,0,0.5054847,0.49451524
1,0,1,0.4056312,0.5943688
1,1,1,0.19948357,0.80051637
0,3,1,0.4056312,0.5943688
0,2,1,0.49480033,0.5051997
0,2,1,0.4056312,0.5943688
0,2,0,0.502939,0.49706098
0,2,1,0.4056312,0.5943688
1,2,1,0.45263928,0.5473607
0,3,1,0.4699588,0.5300412
0,2,0,0.5356006,0.46439934
0,3,1,0.4677291,0.5322709
1,2,1,0.43294343,0.5670566
0,3,1,0.45790824,0.5420917
0,2,1,0.4056312,0.5943688
0,2,1,0.4570537,0.5429463
1,2,1,0.4056312,0.5943688
1,0,1,0.4056312,0.5943688
0,3,1,0.4056312,0.5943688
0,2,0,0.54186344,0.45813656
0,2,0,0.5291698,0.47083017
1,2,1,0.4454521,0.5545479
1,1,1,0.2292781,0.7707219
1,3,1,0.4633012,0.5366988
0,2,0,0.53931963,0.4606804
1,3,1,0.4666557,0.5333443
0,3,0,0.5425716,0.4574284
0,2,0,0.540989,0.45901102
1,2,1,0.4056312,0.5943688
0,2,1,0.4056312,0.5943688
0,2,1,0.46583098,0.534169
1,2,1,0.4056312,0.5943688
0,3,1,0.45741343,0.5425865
0,3,1,0.47710925,0.52289075
0,3,1,0.4995227,0.5004773
0,3,0,0.53453505,0.46546495
0,3,1,0.4056312,0.5943688
1,3,1,0.3692747,0.6307253
0,3,1,0.44599384,0.55400616
0,2,1,0.4056312,0.5943688
0,3,0,0.5029757,0.4970243
0,2,1,0.4626268,0.5373732
